catalogNumber,createdBy,placeName,flagNotes,State,noOfIdentifications,geoPrivacy,createdOn (UTC),createdOn (Portal time),associatedMedia,group_id,dateAccuracy,isLocked,locationLat,locationLon,locationScale,fromDate,toDate,rank,scientificName,commonName,kingdom,phylum,class,order,superfamily,family,genus,species,basisOfRecord,village name in english,village id,plot id,plant habit in english,plant habitat in english,Folklore: A story about this tree,Uses: This tree is used for,Institution Name,Isha Vidhya School,Height (m),Canopy Diameter (m),Trunk Circumference (cm),Any other comments,Did you observe ants on the plant?,Did you observe hemipterans on the plant?,Which part of the plant is infested with insects?,What proportion of the plant is infested?,Did you find any other insects besides ants and hemipterans?, Which of the following hemipteran species have you observed?,Which ant species did you observe?,Texture,Has stem?,Bottom surface,Besides this initiative, do you record crows during bird watching/citizen science?,How do you feel about the presence of crows in your area?,Weather conditions.,What behaviours did you observe?,Number of birds observed.,Understory,Canopy Cover,Plot No.,DBH,Trunk Area,GBH,Edibility status,Ecological Role,Growing on,previousIdentifications,previousVernacularNames,speciesPageId,higherClassificationId,reverseGeocodedName,state,tahsil,district,Sex,Life Stage (Complete Metamorphosis),Life Stage (Incomplete Metamorphosis),Phenology State,Habitat Type,Abundance,Life Stage,Activity,Microhabitat,Wild/Domestic,toDate,observedInMonth,lastRevised,noOfImages,datasetName,containsMedia,uploadProtocol,organismRemarks,tags,speciesGroup,datatableName,datatableAnnotations,basisOfData
1822385,Jon,"Diamond Harbour Road, Konchowki,, P.O. Bishnupur, 24 Parganas (S), Kolkata, West Bengal 743503, India",,West Bengal,1,FALSE,28-04-2019,28-04-2019,/17cb1b53-2e88-44c3-917d-3dfa8dfbc500/72.JPG,Mammals,,FALSE,22.42422295,88.28736115,APPROXIMATE,28-02-2018,28-02-2018,species,Pteropus giganteus (Brünnich 1782),Indian Flying Fox:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Pteropus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268711#Pteropus giganteus (Brünnich 1782) | ,268711#Indian Flying Fox:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Pteropus#rank:genus#taxonID:20471 | name:Pteropus giganteus (Brünnich 1782)#rank:species#taxonID:20473,"Diamond Harbour Road, Konchowki,, P.O. Bishnupur, 24 Parganas (S), Kolkata, West Bengal 743503, India",WEST BENGAL,Bishnupur - I,South Twenty Four Parganas,,,,,,,,,,,2018-02-28T00:00:00.000Z,February,2019-04-28T09:47:53.335Z,3,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821925,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Shivaganga, Karnataka, India",,Karnataka,1,FALSE,22-04-2019,23-04-2019,/6922f64e-9337-44c6-ba9e-37351c9a0e15/485.jpg,Mammals,ACCURATE,FALSE,13.17233372,77.22614288,APPROXIMATE,21-04-2019,21-04-2019,species,Megaderma lyra E. Geoffroy 1810,Greater False Vampire Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Megadermatidae,Megaderma,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376944#Megaderma lyra E. Geoffroy 1810 | ,376944#Greater False Vampire Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Megadermatidae#rank:family#taxonID:20349 | name:Megaderma#rank:genus#taxonID:20351 | name:Lyroderma#rank:subgenus#taxonID:277312 | name:Megaderma lyra E. Geoffroy 1810#rank:species#taxonID:20353,"Shivaganga, Karnataka, India",KARNATAKA,Nelamangala,Bengaluru Rural,,,,,,,,,,,2019-04-21T00:00:00.000Z,April,2019-04-22T22:29:59.171Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821924,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Shivaganga, Karnataka, India",,Karnataka,1,FALSE,22-04-2019,23-04-2019,/6a1f3f3b-21ef-41ff-883d-239abc5d7922/366.jpg,Mammals,ACCURATE,TRUE,13.17233372,77.22614288,APPROXIMATE,21-04-2019,21-04-2019,species,Hipposideros galeritus Cantor 1846,Cantor's Leaf-nosed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Hipposideridae,Hipposideros,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268698#Hipposideros galeritus Cantor 1846 | ,268698#Cantor's Leaf-nosed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Hipposideridae#rank:family#taxonID:20275 | name:Hipposideros#rank:genus#taxonID:20277 | name:Hipposideros galeritus Cantor 1846#rank:species#taxonID:20295,"Shivaganga, Karnataka, India",KARNATAKA,Nelamangala,Bengaluru Rural,,,,,,,,,,,2019-04-21T00:00:00.000Z,April,2019-04-30T14:45:42.673Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821208,Harikrishnan S.,"Indian Express Layout Rd, Dhanalakshmi Layout, Virupakshapura, Bengaluru, Karnataka 560097, India",,Karnataka,1,FALSE,11-04-2019,11-04-2019,/5d5e99c1-0523-496d-bae0-243eb3d4ce37/395.jpg,Mammals,ACCURATE,FALSE,13.06632614,77.57352448,ACCURATE,09-04-2019,09-04-2019,species,Cynopterus sphinx (Vahl 1797),Greater Short Nosed Fruit Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Cynopterus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376939#Cynopterus sphinx (Vahl 1797) | ,376939#Greater Short Nosed Fruit Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Cynopterus#rank:genus#taxonID:20226 | name:Cynopterus sphinx (Vahl 1797)#rank:species#taxonID:20234,"Indian Express Layout Rd, Dhanalakshmi Layout, Virupakshapura, Bengaluru, Karnataka 560097, India",KARNATAKA,Bangalore North,Bangalore,,,,,Urban,,,,,,2019-04-09T00:00:00.000Z,April,2019-04-11T08:40:28.694Z,1,,TRUE,SINGLE_OBSERVATION,,,Mammals,,,
1821155,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Kolar, Karnataka, India",,Karnataka,1,FALSE,08-04-2019,09-04-2019,/b57be016-1456-4909-9912-31c6ec0cd337/25.jpg,Mammals,ACCURATE,FALSE,13.16025829,78.29256439,ACCURATE,10-09-2016,10-09-2016,species,Hipposideros speoris (Schneider 1800),,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Hipposideridae,Hipposideros,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268701#Hipposideros speoris (Schneider 1800) | ,,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Hipposideridae#rank:family#taxonID:20275 | name:Hipposideros#rank:genus#taxonID:20277 | name:Hipposideros speoris (Schneider 1800)#rank:species#taxonID:20314,"Kolar, Karnataka, India",KARNATAKA,Mulbagal,Kolar,Male,,,,Rocky Area,,,,,,2016-09-10T00:00:00.000Z,September,2019-04-11T15:44:26.200Z,1,,TRUE,SINGLE_OBSERVATION,"Hipposideros speoris were found roosting in the cave along with H. hypophyllus, H. durgadasi, H. fulvus and R. lepidus.",,Mammals,,,
1821071,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Hemmadaga, Karnataka 591302, India",,Karnataka,2,FALSE,07-04-2019,08-04-2019,/d1ad4a29-7fd8-4854-ab4e-fc69301100d5/610.jpg,Mammals,ACCURATE,FALSE,15.55611324,74.31957245,ACCURATE,10-12-2015,10-12-2015,species,Otomops wroughtoni (Thomas 1913),Wroughton's Free-tailed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidea,Molossidae,Otomops,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374257#Otomops wroughtoni (Thomas 1913) | ,374257#Wroughton's Free-tailed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Vespertilionoidea#rank:superfamily#taxonID:276560 | name:Molossidae#rank:family#taxonID:20411 | name:Otomops#rank:genus#taxonID:20413 | name:Otomops wroughtoni (Thomas 1913)#rank:species#taxonID:20415,"Hemmadaga, Karnataka 591302, India",KARNATAKA,Khanapur,Belagavi,,,,,,,,,,,2015-12-10T00:00:00.000Z,December,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821070,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Hemmadaga, Karnataka 591302, India",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/1aef4f47-20c8-4c45-a630-685cc309679f/314.jpg,Mammals,ACCURATE,FALSE,15.55623722,74.3194809,ACCURATE,09-12-2015,09-12-2015,species,Rhinolophus lepidus Blyth 1844,Blyth's Horseshoe Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Rhinolophidae,Rhinolophus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268715#Rhinolophus lepidus Blyth 1844 | ,268715#Blyth's Horseshoe Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Rhinolophidae#rank:family#taxonID:20485 | name:Rhinolophus#rank:genus#taxonID:20487 | name:Rhinolophus lepidus Blyth 1844#rank:species#taxonID:20493,"Hemmadaga, Karnataka 591302, India",KARNATAKA,Khanapur,Belagavi,,,,,,,,,,,2015-12-09T00:00:00.000Z,December,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821069,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Hemmadaga, Karnataka 591302, India",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/128224d7-3295-41f9-a450-a256fe116908/444.jpg,Mammals,ACCURATE,FALSE,15.55607128,74.3194809,ACCURATE,09-12-2015,09-12-2015,species,Megaderma spasma (Linnaeus 1758),Lesser False Vampire:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Megadermatidae,Megaderma,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372746#Megaderma spasma (Linnaeus 1758) | ,372746#Lesser False Vampire:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Megadermatidae#rank:family#taxonID:20349 | name:Megaderma#rank:genus#taxonID:20351 | name:Megaderma#rank:subgenus#taxonID:277313 | name:Megaderma spasma (Linnaeus 1758)#rank:species#taxonID:20364,"Hemmadaga, Karnataka 591302, India",KARNATAKA,Khanapur,Belagavi,,,,,,,,,,,2015-12-09T00:00:00.000Z,December,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821068,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Hemmadaga, Karnataka 591302, India",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/b33abaa9-6335-4f39-bc10-f1ada1404ac4/320.jpg,Mammals,ACCURATE,TRUE,15.55615425,74.31926727,ACCURATE,09-12-2015,09-12-2015,species,Pipistrellus coromandra (Gray 1838),Indian Pipistrelle:null,Animalia,Chordata,Mammalia,Chiroptera,Vespertilionoidea,Vespertilionidae,Pipistrellus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372747#Pipistrellus coromandra (Gray 1838) | ,372747#Indian Pipistrelle:null | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Vespertilionoidea#rank:superfamily#taxonID:276560 | name:Vespertilionidae#rank:family#taxonID:20255 | name:Pipistrellus#rank:genus#taxonID:20419 | name:Pipistrellus#rank:subgenus#taxonID:277316 | name:Pipistrellus coromandra (Gray 1838)#rank:species#taxonID:20439,"Hemmadaga, Karnataka 591302, India",KARNATAKA,Khanapur,Belagavi,,,,,,,,,,,2015-12-09T00:00:00.000Z,December,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821067,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Bogribail, Karnataka 581362, India",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/29e3c202-0749-47cb-9187-d4aa9d2426d2/172.jpg,Mammals,ACCURATE,FALSE,14.44660759,74.48579407,APPROXIMATE,10-10-2016,10-10-2016,species,Hipposideros speoris (Schneider 1800),Schneider's Leaf-nosed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Hipposideridae,Hipposideros,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268701#Hipposideros speoris (Schneider 1800) | ,268701#Schneider's Leaf-nosed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Hipposideridae#rank:family#taxonID:20275 | name:Hipposideros#rank:genus#taxonID:20277 | name:Hipposideros speoris (Schneider 1800)#rank:species#taxonID:20314,"Bogribail, Karnataka 581362, India",KARNATAKA,Kumta,Uttara Kannada,,,,,,,,,,,2016-10-10T00:00:00.000Z,October,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821066,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Kavala Caves, Lalguli, Karnataka 581363",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/a57ac384-b464-44ed-adf2-244ea2d9894f/476.jpg,Mammals,,FALSE,15.08658028,74.63993835,APPROXIMATE,28-12-2018,28-12-2018,species,Taphozous melanopogon Temminck 1841,Black-bearded Tomb Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,Taphozous,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378658#Taphozous melanopogon Temminck 1841 | ,378658#Black-bearded Tomb Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Emballonuroidea#rank:superfamily#taxonID:276562 | name:Emballonuridae#rank:family#taxonID:20585 | name:Taphozous#rank:genus#taxonID:20587 | name:Taphozous#rank:subgenus#taxonID:277318 | name:Taphozous melanopogon Temminck 1841#rank:species#taxonID:20596,"Kavala Caves, Lalguli, Karnataka 581363",KARNATAKA,Supa,Uttara Kannada,,,,,,,,,,,2018-12-28T00:00:00.000Z,December,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821064,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Hampi, Karnataka 583239, India",,Karnataka,1,FALSE,07-04-2019,08-04-2019,/841987e5-474c-4178-98ca-cb1572def55c/570.jpg,Mammals,ACCURATE,FALSE,15.33501339,76.46002197,APPROXIMATE,08-01-2017,08-01-2017,species,Rousettus leschenaultii (Desmarest 1820),Fulvus Fruit Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Rousettus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333757#Rousettus leschenaultii (Desmarest 1820) | ,333757#Fulvus Fruit Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Rousettus#rank:genus#taxonID:20531 | name:Rousettus#rank:subgenus#taxonID:277317 | name:Rousettus leschenaultii (Desmarest 1820)#rank:species#taxonID:149978,"Hampi, Karnataka 583239, India",KARNATAKA,Hospet,Ballari,,,,,,,,,,,2017-01-08T00:00:00.000Z,January,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821063,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Madurai, Tamil Nadu, India",,Tamilnadu,1,FALSE,07-04-2019,08-04-2019,/d0e688cc-3ea0-47c0-ab16-94dccf04f60d/884.jpg,Mammals,,FALSE,9.925200462,78.11977386,APPROXIMATE,09-08-2013,09-08-2013,species,Cynopterus sphinx (Vahl 1797),Greater Short Nosed Fruit Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Cynopterus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376939#Cynopterus sphinx (Vahl 1797) | ,376939#Greater Short Nosed Fruit Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Cynopterus#rank:genus#taxonID:20226 | name:Cynopterus sphinx (Vahl 1797)#rank:species#taxonID:20234,"Madurai, Tamil Nadu, India",TAMILNADU,Madurai South,Madurai,,,,,,,,,,,2013-08-09T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821062,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Madurai, Tamil Nadu, India",,Tamilnadu,1,FALSE,07-04-2019,08-04-2019,/eabd639a-a87c-430f-8686-7534c2400af6/861.jpg,Mammals,ACCURATE,FALSE,9.925200462,78.11977386,APPROXIMATE,09-08-2013,09-08-2013,species,Taphozous nudiventris Cretzschmar 1826,Naked-rumped Tomb Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,Taphozous,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812074#Taphozous nudiventris Cretzschmar 1826 | ,812074#Naked-rumped Tomb Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Emballonuroidea#rank:superfamily#taxonID:276562 | name:Emballonuridae#rank:family#taxonID:20585 | name:Taphozous#rank:genus#taxonID:20587 | name:Liponycteris#rank:subgenus#taxonID:277319 | name:Taphozous nudiventris Cretzschmar 1826#rank:species#taxonID:445382,"Madurai, Tamil Nadu, India",TAMILNADU,Madurai South,Madurai,,,,,,,,,,,2013-08-09T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821061,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Gharapuri, Maharashtra 400094, India",,Maharashtra,1,FALSE,07-04-2019,07-04-2019,/e35b7749-72f5-4f8d-9998-65b516a41d8a/644.jpg,Mammals,APPROXIMATE,FALSE,18.96334648,72.93148804,APPROXIMATE,08-09-2018,08-09-2018,species,Rhinolophus rouxii Temminck 1835,Rufous Horseshoe Bat:null,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Rhinolophidae,Rhinolophus,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268718#Rhinolophus rouxii Temminck 1835 | ,268718#Rufous Horseshoe Bat:null | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Rhinolophidae#rank:family#taxonID:20485 | name:Rhinolophus#rank:genus#taxonID:20487 | name:Rhinolophus rouxii Temminck 1835#rank:species#taxonID:20509,"Gharapuri, Maharashtra 400094, India",MAHARASHTRA,Uran,Raigarh,,,,,,,,,,,2018-09-08T00:00:00.000Z,September,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821060,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Madurai, Tamil Nadu, India",,Tamilnadu,1,FALSE,07-04-2019,07-04-2019,/a8988707-6ba8-42d9-9673-f078251890f5/317.jpg,Mammals,ACCURATE,FALSE,9.925200462,78.11977386,APPROXIMATE,10-08-2013,10-08-2013,species,Taphozous melanopogon Temminck 1841,Black-bearded Tomb Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Emballonuroidea,Emballonuridae,Taphozous,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378658#Taphozous melanopogon Temminck 1841 | ,378658#Black-bearded Tomb Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Emballonuroidea#rank:superfamily#taxonID:276562 | name:Emballonuridae#rank:family#taxonID:20585 | name:Taphozous#rank:genus#taxonID:20587 | name:Taphozous#rank:subgenus#taxonID:277318 | name:Taphozous melanopogon Temminck 1841#rank:species#taxonID:20596,"Madurai, Tamil Nadu, India",TAMILNADU,Madurai South,Madurai,,,,,,,,,,,2013-08-10T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821059,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Megamalai, Tamil Nadu, India",,Tamilnadu,2,TRUE,07-04-2019,07-04-2019,/140a4090-3b6b-4f6d-98e5-8cc1a9e7020e/836.jpg,Mammals,ACCURATE,FALSE,9.6461181,77.4013403,APPROXIMATE,10-08-2013,10-08-2013,species,Latidens salimalii Thonglongya 1972,Salim Ali's Fruit Bat:English,Animalia,Chordata,Mammalia,Chiroptera,,Pteropodidae,Latidens,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268706#Latidens salimalii Thonglongya 1972 | ,268706#Salim Ali's Fruit Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Pteropodidae#rank:family#taxonID:20224 | name:Latidens#rank:genus#taxonID:20344 | name:Latidens salimalii Thonglongya 1972#rank:species#taxonID:20346,"Megamalai, Tamil Nadu, India",TAMILNADU,Andipatti,Theni,,,,,,,,,,,2013-08-10T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821058,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Jama Masjid Rd, Meena Bazaar, Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",,Delhi,1,FALSE,07-04-2019,07-04-2019,/d71a23de-d8d2-4bef-b067-293767733af2/887.jpg,Mammals,ACCURATE,TRUE,28.65067863,77.23344421,APPROXIMATE,07-08-2016,07-08-2016,species,Rhinopoma microphyllum (Brünnich 1782),Greater Mouse-tailed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Rhinopomatidae,Rhinopoma,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268722#Rhinopoma microphyllum (Brünnich 1782) | ,268722#Greater Mouse-tailed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Rhinopomatidae#rank:family#taxonID:20517 | name:Rhinopoma#rank:genus#taxonID:20519 | name:Rhinopoma microphyllum (Brünnich 1782)#rank:species#taxonID:20525,"Jama Masjid Rd, Meena Bazaar, Jama Masjid, Chandni Chowk, New Delhi, Delhi 110006, India",DELHI,Darya Ganj,Central,,,,,,,,,,,2016-08-07T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
1821057,"Rajesh Puttaswamaiah, Bat Conservation India Trust","Airforce Golf Course, Delhi Race Club, New Delhi, Delhi 110021, India",,Delhi,1,FALSE,07-04-2019,07-04-2019,/ea37280f-5901-47af-8e4c-ab71f683bcac/909.jpg,Mammals,ACCURATE,FALSE,28.58930016,77.21057129,APPROXIMATE,07-08-2016,07-08-2016,species,Rhinopoma microphyllum (Brünnich 1782),Greater Mouse-tailed Bat:English,Animalia,Chordata,Mammalia,Chiroptera,Rhinolophoidea,Rhinopomatidae,Rhinopoma,,HUMAN_OBSERVATION,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268722#Rhinopoma microphyllum (Brünnich 1782) | ,268722#Greater Mouse-tailed Bat:English | ,,name:Root#rank:root#taxonID:1 | name:Animalia#rank:kingdom#taxonID:872 | name:Chordata#rank:phylum#taxonID:20218 | name:Mammalia#rank:class#taxonID:20220 | name:Chiroptera#rank:order#taxonID:20222 | name:Rhinolophoidea#rank:superfamily#taxonID:276561 | name:Rhinopomatidae#rank:family#taxonID:20517 | name:Rhinopoma#rank:genus#taxonID:20519 | name:Rhinopoma microphyllum (Brünnich 1782)#rank:species#taxonID:20525,"Airforce Golf Course, Delhi Race Club, New Delhi, Delhi 110021, India",DELHI,Chanakya Puri,New Delhi,,,,,,,,,,,2016-08-07T00:00:00.000Z,August,2019-04-11T15:44:26.200Z,1,,TRUE,MULTI_OBSERVATION,,,Mammals,,,
